employee_name,first_matched_job_title,employee_name_clean,location
"Hubert, Frank, Prof. Dr.",Professor Wirtschaftsinformatik,Frank Hubert,mannheim
"Hübl, Reinhold, Prof. Dr.","Studiengangsleiter (komm.), Professor Informatik",Reinhold Hübl,mannheim
"Huckenbeck, Ulrich, Dr.",Akademischer Mitarbeiter ZeMath,Ulrich Huckenbeck,mannheim
"Hümmer, Matthias, Prof. Dr.",Professor Integrated Engineering,Matthias Hümmer,mannheim
"Jacobsen, Hendrik, Prof. Dr.","Studiengangsleiter, Professor RSW - Accounting & Controlling",Hendrik Jacobsen,mannheim
"Jedem-Kury, Ulrike, Prof., Dr.",Professorin BWL - Immobilienwirtschaft,Ulrike Jedem-Kury,mannheim
"Jeske, Klaus-Jürgen, Prof. Dr.","Studiengangsleiter, Professor BWL - Versicherung",Klaus-Jürgen Jeske,mannheim
"Jonen, Andreas, Prof. Dr.",Professor RSW - Accounting & Controlling,Andreas Jonen,mannheim
"Jordan-Kunert, Jennifer, Prof. Dr.",Professorin BWL - Marketing Management,Jennifer Jordan-Kunert,mannheim
"Kastor, Michael, Prof. Dr.",Professor BWL - Industrie,Michael Kastor,mannheim
"Kilthau, Andreas, Prof. Dr.",Professor Elektrotechnik,Andreas Kilthau,mannheim
"Klein, Werner, Prof. Dr.",Professor Maschinenbau,Werner Klein,mannheim
"Klenk, Thomas, Prof. Dr.","Studiengangsleiter, Professor Maschinenbau",Thomas Klenk,mannheim
"Kölbl, Kathrin, Prof.",Professorin BWL - Marketing Management,Kathrin Kölbl,mannheim
"König, Verena, Prof. Dr.",Studiengangsleiterin Immobilienwirtschaft,Verena König,mannheim
"König, Verena, Prof. Dr.",Wissenschaftliche Leitung Partnermarketing,Verena König,mannheim
"Kornmayer, Harald, Prof. Dr.",Professor Informatik,Harald Kornmayer,mannheim
"Kornmeier, Martin, Prof. Dr.","Studiengangsleiter, Professor BWL - International Business binational (Double Degree)",Martin Kornmeier,mannheim
